company_id,type,rule_id,text,confidence_pct
ABB,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
ABB,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
ABB,pro,P00,Company shows positive operating history and remains investable on the available fundamentals,65
ADANIENSOL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
ADANIENSOL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
ADANIENSOL,pro,P00,Company shows positive operating history and remains investable on the available fundamentals,65
ADANIENT,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
ADANIENT,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
ADANIENT,pro,P00,Company shows positive operating history and remains investable on the available fundamentals,65
ADANIGREEN,con,C01,Debt-to-equity ratio of 6.38 is elevated for a non-financial company and warrants monitoring,79
ADANIGREEN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
ADANIGREEN,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
ADANIGREEN,pro,P00,Company shows positive operating history and remains investable on the available fundamentals,65
ADANIPORTS,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
ADANIPORTS,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
ADANIPORTS,pro,P00,Company shows positive operating history and remains investable on the available fundamentals,65
ADANIPOWER,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
ADANIPOWER,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
ADANIPOWER,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,84
AMBUJACEM,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
AMBUJACEM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
AMBUJACEM,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
APOLLOHOSP,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
APOLLOHOSP,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
APOLLOHOSP,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,84
APOLLOHOSP,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
ASIANPAINT,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
ASIANPAINT,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
ASIANPAINT,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,84
ASIANPAINT,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
